id,found_at,status,title,company,location,source,visa_sponsorship,dol_h1b_sponsor,dol_h1b_lca_count,dol_h1b_worker_positions,dol_h1b_role_lca_count,dol_h1b_employer,h1bgrader_url,url
google_141124469794972358,2026-09-12 23:03:03 UTC,To Apply,"Group Product Manager, YouTube Creator Partnerships",Google,"San Bruno, CA, USA; Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,216,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/141124469794972358
google_113291675115102918,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, Shopping Journey Continuation",Google,"Pittsburgh, PA, USA; New York, NY, USA; Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,216,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/113291675115102918
google_81812680834196166,2026-09-12 23:03:03 UTC,To Apply,"Group Product Manager, Applied AI, Generative Media and Entertainment, DeepMind",Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,219,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/81812680834196166
google_111092890230235846,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, Google Cloud Platform, Spanner Infrastructure",Google,"Sunnyvale, CA, USA",Google,Not stated,Yes,7339,8626,246,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/111092890230235846
google_102414331135566534,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, Agentic AI and Insights Platform",Google,"Boulder, CO, USA; Pittsburgh, PA, USA",Google,Not stated,Yes,7339,8626,254,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/102414331135566534
google_106441331127001798,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, Google Maps AI Platform",Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,223,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/106441331127001798
google_95886281493357254,2026-09-12 23:03:03 UTC,To Apply,"Group Product Manager, Android Next-Gen Platform and Longevity",Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,218,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/95886281493357254
google_139379881996624582,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, AI Enablement and Infrastructure",Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,255,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/139379881996624582
google_142353036600058566,2026-09-12 23:03:03 UTC,To Apply,"Product Manager II, Android XR Platform Hardware",Google,"San Jose, CA, USA",Google,Not stated,Yes,7339,8626,194,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/142353036600058566
google_108717732513358534,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, Modern Governance Developer Ecosystem",Google,"San Francisco, CA, USA; Seattle, WA, USA; San Jose, CA, USA",Google,Not stated,Yes,7339,8626,216,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/108717732513358534
